"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC"
"VWA5A",0.053070435156255,0.338129688115293,-0.152090244,0.11393109784739,0.197127643619383,0.00148314979971409,0.00334230487707816,0.0265037839123127,"Mixed",0.0327026115918792
"ADD3",0.207144354881981,0.0517335689377845,0.165357607218782,0.0931240963004113,0.202006266121977,0.0119118836735619,0.00335428321489028,0.0265663321208596,"Consistent",0.191502742740913
"SSBP1",0.0676029447231965,0.409565577919457,-0.196955531,0.0169095577179813,0.232947826613315,0.0083216583149924,0.00336596368342092,0.0265939794914564,"Mixed",0.0345317467788371
"PRELID3B",0.138369815865052,0.0400383560571552,0.118384071681751,0.360219010413317,0.18338607984396,0.00403220616867352,0.00339083652250822,0.0267254706255214,"Consistent",0.146713322463588
"KMT2A",0.0777635994375769,0.0723525875438861,0.351165182584817,0.00867188254061564,0.10266608499491,0.0933754970767452,0.00341136821350915,0.0268221923276455,"Consistent",0.177198289005768
"TMEM38B",0.10622909955001,0.137094721564963,0.147853647537875,0.132072126356258,0.222734574696734,0.0032463760051842,0.00342054220501127,0.026861803325811,"Consistent",0.15893910726154
"TUFT1",0.147733444562969,0.00903896318138923,-0.036856238,0.761109991840977,0.143897637975251,0.00858511762645977,0.00343393601766892,0.0268958916422832,"Mixed",0.0849249481794068
"PAK2",0.128395987681861,0.0403504082875213,-0.16506706,0.0251035279256676,0.113895270753101,0.0583760818235677,0.00343719535008706,0.0268958916422832,"Mixed",0.0257413994783207
"CBX3",0.109021813275795,0.127813392277983,-0.142281944,0.093615848506635,0.201233621272467,0.00493242814776995,0.00343183639876564,0.0268958916422832,"Mixed",0.0559911635160876
"ATP8B1",0.188767213748351,0.0445818454760477,-0.12829872,0.0913068939500446,0.265330882730984,0.014546646958476,0.003441113516414,0.0269094662641189,"Mixed",0.108599792159778
"KLHL2",0.219595345885589,0.0115229730966977,-0.038606164,0.574980417235883,0.120328696739746,0.00898497106097412,0.0034560659428634,0.0270052283690249,"Mixed",0.100439292875111
"NTRK3",0.180065617490017,0.0364635810706668,0.0894084459773179,0.0512999344742419,-0.135887241659999,0.031840645643646,0.00345751749770485,0.0270052283690249,"Mixed",0.0445289406024454
"FBXO11",0.329071935590159,0.0222906644363877,-0.149481722,0.0901593732788528,0.164726347707155,0.0296905798957659,0.00346267800784567,0.0270292816369636,"Mixed",0.114772187099105
"RBBP6",0.0940567676757844,0.156219040635088,0.166406640810331,0.0182860006981344,0.154025147554468,0.0210052092647316,0.003478487802103,0.0271200948748595,"Consistent",0.138162852013528
"ARL6IP1",0.196746059024795,0.00353246780644059,-0.077435947,0.286273906353636,0.0835832549377482,0.0595968843080908,0.0034909380711464,0.0271658459158983,"Mixed",0.0676311223208477
"UFL1",0.226559885928226,0.0294389144796206,0.118456275408651,0.269001997060872,0.211859072719877,0.00760126127527134,0.0034875293971331,0.0271658459158983,"Consistent",0.185625078018918
"MICA",0.0133767338539927,0.830981030305042,0.147488971642062,0.0153626606215348,0.254411100537546,0.00477151237035795,0.00352139845263346,0.0272745644014645,"Consistent",0.1384256020112
"ANTXR1",-0.0433226778031632,0.189685568305437,0.309184808779065,0.0401816321042833,0.256180667536053,0.0080037841948541,0.00352565324718873,0.0272912455469215,"Mixed",0.174014266170651
"SLC22A5",0.155933949169296,0.00373583186884025,0.163896245354676,0.0459785316186002,0.0684794445111709,0.356182960589488,0.00353398600227269,0.0273394545464681,"Consistent",0.129436546345048
"JUN",-0.0882314372987825,0.427403721155027,0.190265425645877,0.0465791927714588,0.287198438532963,0.00309881914859392,0.00355800459864758,0.0274598465429788,"Mixed",0.129744142293352
"COL4A2",0.0299025436015583,0.7331859510002,0.29750488706023,0.00765638242132207,0.213942955107171,0.0110779280879028,0.00358123430806844,0.027589948059016,"Consistent",0.180450128589653
"VEGFA",-0.133371304907856,0.0925145292948863,0.110069865703938,0.401761987529752,0.58463703259693,0.00167487147685408,0.00358435174886788,0.0275975962454327,"Mixed",0.187111864464338
"MED6",0.143717976553887,0.0513051786352646,-0.23548175,0.0172741948313605,0.207344972026898,0.0703540934463559,0.00358897999917661,0.0276035537981814,"Mixed",0.0385270661935949
"TGFBR3",0.0794263078292987,0.483120773763256,0.425988799108051,0.0240323161384865,0.346660239717358,0.00537123833311079,0.0035895007859457,0.0276035537981814,"Consistent",0.284025115551569
"H3-3A",0.160268007047154,0.098785485852406,-0.062829992,0.297462168669855,0.122732438234982,0.0021295206911119,0.00359948300511308,0.0276322013909065,"Mixed",0.0733901510940453
"CUL5",0.119507342102147,0.0879558319441258,0.160302191229477,0.0448564662983323,-0.196175505339154,0.0159867207355512,0.00362278995594902,0.0277291801637135,"Mixed",0.0278780093308234
"SORL1",0.113464711625433,0.244019461136047,-0.216624544,0.0203131582321006,0.10693704072531,0.0127220083976527,0.00362216858365461,0.0277291801637135,"Mixed",0.00125906945024748
"TSPAN6",0.18890064079316,0.00655711685727385,0.178458123337666,0.0659540101765363,0.117308150032173,0.145999690926739,0.00362589504547803,0.0277366023237421,"Consistent",0.161555638054333
"ABI1",0.332481938821922,0.00635513138014641,-0.112049116,0.241460089119133,0.102256936238284,0.0412706347636547,0.00363477635671783,0.027788175454625,"Mixed",0.107563253020069
"TPD52L1",0.208870141664205,0.0584999096391091,0.312437348863206,0.0137510822345959,0.165546353426267,0.079410159224736,0.00366046476465568,0.0278211317197651,"Consistent",0.228951281317893
"CEP57",0.122944931060124,0.00422581009003548,-0.15211185,0.168417798122708,0.0896682291295559,0.090497566204064,0.00368501505166372,0.0279177773113632,"Mixed",0.0201671033965598
"RBM25",0.140460836912975,0.221491301947633,0.354946829427362,0.0210052334919421,-0.310569041615832,0.0138292985475789,0.00368190523268301,0.0279177773113632,"Mixed",0.0616128749081685
"FGFR2",-0.103389999274514,0.0102911099937401,0.203089331609638,0.162641391739716,0.116064066525235,0.0386351046152419,0.00369705357817129,0.0279354444019005,"Mixed",0.0719211329534532
"ZNF839",0.0638580169395508,0.163730557981773,-0.143506116,0.00289907452144566,0.0835055748931044,0.136193790496835,0.00369616026061644,0.0279354444019005,"Mixed",0.00128582527755175
"ITGA6",0.0565504376421266,0.404814507511727,0.131888569874918,0.212066289482279,0.295724809180311,0.000763317968071951,0.00373715137818553,0.0281728724615507,"Consistent",0.161387938899119
