"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC","Significant"
"KCNA2",-0.0850603937689867,0.120839055243959,-0.248130796,0.00573555876786733,-0.0911591678033226,0.0529636763547624,0.00232583027498442,0.0222297346885744,"Consistent",-0.14145011919077,TRUE
"TMEM70",0.0840086672317568,0.136940631403036,-0.363065461,0.0118280380441626,-0.126815116284169,0.0226549788676618,0.00232515829171914,0.0222297346885744,"Mixed",-0.135290636684137,TRUE
"GREB1",0.103717107786336,0.0159669345565216,0.109601218721783,0.108186874772215,0.23529858171714,0.0212953198028244,0.00232988488264516,0.0222423852455572,"Consistent",0.149538969408419,TRUE
"TRIM2",0.229887910212019,0.0411553502697246,-0.183776477,0.0157959051502227,-0.246815073865478,0.0566065360909283,0.00233057866804245,0.0222423852455572,"Mixed",-0.0669012135511529,TRUE
"ADGRG6",-0.152278906160011,0.00379734338963954,-0.074487868,0.114092549766199,-0.160550669130794,0.0856687759827524,0.00234707505127109,0.0222922356817746,"Consistent",-0.129105814430268,TRUE
"TSPYL1",0.320814884854876,0.0102956277274115,-0.24105271,0.0720605723340313,0.138192123157562,0.0500911937772804,0.0023495319615328,0.0222922356817746,"Mixed",0.0726514326708127,TRUE
"MYRIP",0.220527411235715,0.0140980125560808,-0.158327107,0.136235367364134,0.137037974136165,0.0193373004683024,0.00234833783490022,0.0222922356817746,"Mixed",0.0664127594572931,TRUE
"RCN1",0.103335988942725,0.11240613061962,0.150780989207173,0.0664277460448278,0.212729960178443,0.00496733133019315,0.00234575430997565,0.0222922356817746,"Consistent",0.155615646109447,TRUE
"FIBP",-0.11909190759817,0.119156363145823,-0.225810505,0.0203774389413464,-0.161816086343752,0.0152669454279588,0.00234467162485623,0.0222922356817746,"Consistent",-0.168906166313974,TRUE
"ANKRD10",0.0845658053550995,0.137075706483944,0.0950163432874476,0.00645155946834861,0.12406711849574,0.0420167324751521,0.00234924508880087,0.0222922356817746,"Consistent",0.101216422379429,TRUE
"MED8",-0.060377108529222,0.251103358253607,-0.206776503,0.00678452066927999,-0.119430033173487,0.0217076414769295,0.00234007944946128,0.0222922356817746,"Consistent",-0.128861214900903,TRUE
"PFN2",0.0776824396072708,0.295590942091995,-0.243364961,0.00156145412882234,-0.0731124405596422,0.0804916438552051,0.00234890538973083,0.0222922356817746,"Mixed",-0.0795983206507904,TRUE
"ZEB1",-0.281492386391864,0.0246876558172601,-0.149634453,0.0445376708227913,0.0870642535297144,0.0339660477874784,0.00235907926049925,0.022321112204197,"Mixed",-0.114687528620717,TRUE
"PEX10",-0.100709605780104,0.0825165672457489,0.121767423061275,0.0894243111914503,-0.177121293773026,0.00505129608217433,0.00235527093217538,0.022321112204197,"Mixed",-0.0520211588306182,TRUE
"CDKN2C",-0.107387371312843,0.131397252121364,0.28456689270188,0.0449682959821665,0.238450148837849,0.00632182470916259,0.00235944930759585,0.022321112204197,"Mixed",0.138543223408962,TRUE
"RGS7",0.148078273108803,0.25823996434256,-0.598329379,0.0034351310669998,-0.194101644031113,0.0420738988994648,0.00235786014482242,0.022321112204197,"Mixed",-0.214784249974103,TRUE
"SMARCA2",0.176259113768625,0.0548803298924515,-0.313375811,0.0364927939410601,-0.245529412070902,0.0186812615649532,0.00236255731495179,0.0223342481542277,"Mixed",-0.127548703100759,TRUE
"ELAVL4",0.0531907108500942,0.636776297683563,-0.381677553,0.00314345593266715,-0.199486946926934,0.0187095311906128,0.002364469827304,0.0223360716995285,"Mixed",-0.175991263025613,TRUE
"CAND1",0.0902077332435258,0.329740779879477,-0.354070261,0.00631814638797688,-0.128133320585018,0.0180230467479937,0.00236955183910069,0.0223678116555806,"Mixed",-0.130665282780497,TRUE
"TAC3",-0.180532164804684,0.0225996310620433,-0.211909396,0.121627156181512,-0.204914518725544,0.0136915837711702,0.00237402230883023,0.0223937369421902,"Consistent",-0.199118693176743,TRUE
